drug_name,drug_concept_id,N,cancer_drug_manual
calcifediol,19035569,4,
cefoperazone,1773402,4,
fluocinolone,996541,4,
polyethylene glycols,948515,4,
adenosine triphosphate,19015230,4,
lopinavir / ritonavir Oral,40128015,4,
pyrazinamide,1759455,4,
povidone-iodine,1750087,4,
oprelvekin,1318030,4,
desoximetasone,917336,4,
docosanol,980955,4,
dicyclomine,924724,4,
artemisinin,1145680,4,
silver,1525348,4,
titanium,42900100,4,
ivabradine,46234437,4,
cholestyramine resin,19095309,4,
etelcalcetide,1593331,4,
etidronate,1552929,4,
iomeprol,1525340,4,
selexipag,35604848,4,
fluoxymesterone,1555887,4,
pantethine,19019317,4,
copper gluconate,19004810,4,
quinine,1760616,4,
fluocinonide,955252,4,
sinecatechins,921956,4,
apomorphine,837027,4,
tocopherol,42709318,4,
ferrous gluconate,1396012,4,
benralizumab,792993,4,
atropine / diphenoxylate Oral,40010968,4,
gold,42899196,4,
vortioxetine,44507700,4,
glyceryl phosphate,43526717,4,
amp / sul Inj,46275615,4,
diflucortolone,19026096,4,
opicapone,1145467,4,
diphenoxylate,930916,4,
galcanezumab,35200800,4,
belatacept,40239665,4,
daratumumab / hyaluronidase Inj,1146177,4,
sacubitril,46275719,4,
lanadelumab,35200405,4,
bedaquiline,43012518,4,
benzocaine,917006,4,
mosapride,19011339,4,
glycopyrronium / indacaterol Inhalation Powder,1356196,4,
sacubitril / valsartan Oral,46275724,4,
tirbanibulin,37003531,4,
voxelotor,37497986,4,
orlistat,741530,4,
selenious acid,19038024,4,
prilocaine,951279,3,
paraffin,19129738,3,
cefotiam,19051271,3,
thymopentin,19102231,3,
activated charcoal,1701928,3,
hemp,35604402,3,
nomegestrol,19015533,3,
tadenan,941004,3,
acetic acid,929549,3,
stanozolol,1636145,3,
mustard oil,43012161,3,
thiopental,700253,3,
guanfacine,1344965,3,
polyoxyl 35 castor oil,42900419,3,
fluticasone / vilanterol Dry Powder Inhaler,43532281,3,
efalizumab,936429,3,
meprednisone,19009116,3,
armodafinil,19090984,3,
antilymphocyte immunoglobulin,19136041,3,
anti-inhibitor coagulant complex,19080406,3,
sulfasalazine,964339,3,
aminophylline,1105775,3,
chlorthalidone,1395058,3,
sotalol,1370109,3,
cloperastine,35201862,3,
bacitracin,915175,3,
cantharidin,19039679,3,
thioridazine,700299,3,
quercetin,19060393,3,
vardenafil,1311276,3,
entacapone,782211,3,
niacin,1517824,3,
tetrazepam,19041746,3,
mefenamate,1197736,3,
glycerol phenylbutyrate,46274595,3,
benzoyl peroxide,918172,3,
phenylbutyrate,1539954,3,
pristinamycin,19125201,3,
HCTZ / lisinopril Oral,40044817,3,
calcium polycarbophil,940426,3,
altrenogest,42903898,3,
alibendol,19055880,3,
lifitegrast,40220740,3,
zinc gluconate,19079204,3,
natalizumab,735843,3,
loxapine,792263,3,
quinapril,1331235,3,
carbenicillin,1740546,3,
nabilone,913440,3,
thymalfasin,19100740,3,
dexamethasone / tobramycin Ophthalmic Suspension,40027458,3,
mecasermin,1502877,3,
ifenprodil,19069103,3,
tesamorelin,40231628,3,
tranylcypromine,703470,3,
cod liver oil,19101604,3,
icatibant,40242044,3,
ledipasvir / sofosbuvir Oral,45775026,3,
insulin isophane,46221581,3,
aspirin / carisoprodol Oral,40012296,3,
bezafibrate,19022956,3,
procaterol,19028950,3,
coxsackievirus A21,1759061,3,
pyroglutamate,19018255,3,
hyoscyamine,923672,3,
endothelial growth factor A,746222,3,
norgestrel,1521592,3,
clenbuterol,19097824,3,
methoxyflurane,19005257,3,
emicizumab,793042,3,
sofosbuvir / velpatasvir Oral Pellet,702125,3,
nalbuphine,1114122,3,
terbutaline,1236744,3,
lonafarnib,37003374,3,
brimonidine,915542,3,
carisoprodol,749910,3,
proparacaine,929504,3,
fluvastatin,1549686,3,
oxymetazoline,925636,3,
ganirelix,1536743,3,
semaglutide,793143,3,
bictegravir,964008,3,
eptifibatide,1322199,3,
tiopronin,903031,3,
crizanlizumab,37497670,3,
tiropramide,19100759,3,
nitrazepam,19020021,3,
cyamemazine,19051234,3,
anidulafungin,19026450,3,
empagliflozin,45774751,3,
epoprostenol,1354118,3,
lonapegsomatropin,701794,3,
danaparoid,19026343,3,
satraplatin,35606078,3,
proguanil,1792429,2,
glyburide,1559684,2,
trichlormethiazide,904639,2,
pyrimethamine,1760039,2,
magnesium sulfate heptahydrate,19091804,2,
clobetasone,19005129,2,
procyclidine,752276,2,
urapidil,19101849,2,
lithium carbonate,751246,2,
flumazenil,19055153,2,
difluprednate,19089579,2,
chlorprothixene,19095002,2,
roxithromycin,19063874,2,
glipizide,1560171,2,
etomidate,19050488,2,
"sodium phosphate, monobasic",990499,2,
cilastatin,1797258,2,
propylthiouracil,1554072,2,
levalbuterol,1192218,2,
sulbenicillin,19000817,2,
miltefosine,44816310,2,
zileuton,1147878,2,
trientine,19004969,2,
zinc chloride,19044317,2,
hydrogen peroxide,1776430,2,
nizatidine,950696,2,
polysaccharide iron complex,1300751,2,
bromopride,19018980,2,
ginger root,1314928,2,
streptomycin,1836191,2,
betaxolol,1322081,2,
methyltestosterone,1506602,2,
miglustat,19045272,2,
barium sulfate,19011331,2,
vildagliptin,19122137,2,
vitamin K1,19044727,2,
atovaquone / proguanil Oral,40095250,2,
prasugrel,40163718,2,
fosfestrol,19065450,2,
midodrine,1308368,2,
mivacurium,19010459,2,
zafirlukast,1111706,2,
cefditoren,1747005,2,
cetrorelix,1503983,2,
methoxamine,19005208,2,
copper,19071128,2,
lamivudine / zidovudine Oral,40051161,2,
insulin degludec,35602717,2,
pimecrolimus,915935,2,
cobamamide,19048026,2,
buspirone,733301,2,
opipramol,19129635,2,
mequitazine,19009145,2,
sapropterin,19021959,2,
quinidine,1360421,2,
diphenidol,19089992,2,
hydroxyethyl starch 130-0.4,43012293,2,
loteprednol etabonate,967562,2,
iron-dextran complex,1381661,2,
agatolimod,746684,2,
biperiden,724908,2,
butalbital,1139699,2,
antithrombin III,1436169,2,
ixekizumab,35603563,2,
oxacillin,1724703,2,
nitazoxanide,1715315,2,
tenecteplase,19098548,2,
oxaprozin,1118045,2,
chlorzoxazone,795113,2,
agalsidase beta,1525746,2,
arsenic triiodide,42900399,2,
insulin-like growth factor 2,35604829,2,
interferon-beta,19109079,2,
nimodipine,1319133,2,
adenosine,1309204,2,
pentetate,19123729,2,
methyl salicylate,909440,2,
icosapent ethyl,42874246,2,
risedronic acid,19115051,2,
barium,42898624,2,
Streptococcus pneumoniae serotype 6A capsular antigen diphtheria CRM197 protein conjugate vaccine,40174020,2,
glecaprevir,793843,2,
levorphanol,1189766,2,
canrenone,19019698,2,
chlorotrianisene,19092684,2,
cefaclor,1768849,2,
methylnaltrexone,909841,2,
voxilaprevir,793741,2,
milnacipran,19080226,2,
betamethasone / salicylic acid Topical Ointment,40018158,2,
folic acid / vitamin B12 Disintegrating Oral,40148860,2,
sodium ferric gluconate complex,1399177,2,
potassium citrate,976545,2,
nafarelin,1507558,2,
Viscum album leaf extract,42900022,2,
sulbactam,1836241,2,
canagliflozin,43526465,2,
sulfur,1036525,2,
rasagiline,715710,2,
rose bengal,19063871,2,
metreleptin,44814585,2,
cefadroxil,1769535,2,
limonene,19071864,2,
dolasetron,903459,2,
prucalopride,1356018,2,
oxymetholone,1525741,2,
genistein,19097682,2,
L1 protein,45892476,2,
indole-3-carbinol,779328,2,
ethamsylate,19049350,2,
psyllium,957797,2,
prasterone,1312007,2,
capsaicin,939881,2,
methionine,19004724,2,
ethosuximide,750119,2,
dextromoramide,19021940,2,
insulin detemir,1516976,2,
gliclazide,19059796,2,
siponimod,1510913,2,
sumatriptan,1140643,2,
azelate,986790,2,
dorzolamide,981709,2,
lisdexamfetamine,709567,2,
aminosalicylic acid,1726228,2,
nitrendipine,19020061,2,
colestipol,1501617,2,
wormwood oil,42899969,2,
mebeverine,19008994,2,
drospirenone,1512674,2,
lutropin alfa,1543112,2,
glecaprevir / pibrentasvir Oral,793862,2,
tinidazole,1702559,2,
faricimab,1759013,2,
amlodipine / valsartan Oral,40140541,2,
budesonide / formoterol Metered Dose Inhaler,40142910,2,
dabigatran,45775372,2,
elvitegravir,42874212,2,
aldioxa,19054915,2,
sodium zirconium cyclosilicate,1510687,2,
eliglustat,45775782,2,
guselkumab,1593700,2,
iloprost,1344992,2,
burosumab,1510235,2,
inotersen,35200990,2,
simethicone,966991,2,
sodium hydroxide,19069760,2,
olodaterol,45775116,2,
benzbromarone,19016754,2,
rufinamide,19006586,2,
hydroquinone,976778,2,
racecadotril,19018403,2,
gadoteridol,19097463,2,
hydantoin,35605297,2,
zinc sulfate,19044522,2,
albendazole,1753745,2,
anifrolumab,701470,2,
thrombin,1300673,2,
oxytocin,1326115,2,
mineral oil,908523,2,
pseudoephedrine,1154332,2,
ceftizoxime,1777254,2,
butorphanol,1133732,2,
phenol,923540,2,
bifonazole,19037560,2,
flucytosine,1755112,2,
aspirin / glycine Oral,40012578,2,
reslizumab,35603983,2,
omadacycline,35200953,2,
dorzolamide / timolol Ophthalmic Solution,40057968,2,
potassium acetate,19076414,2,
flurandrenolide,956266,2,
lusutrombopag,35200302,2,
crofelemer,43013047,2,
sodium,19136048,2,
cabotegravir,739588,2,
edaravone,1594308,2,
ertugliflozin,793293,2,
inosine pranobex,19083285,2,
emapalumab,1355650,2,
aprindine,19006969,2,
lemborexant,37498491,2,
Coix lacryma-jobi var. ma-yuen seed oil,45776223,2,
doripenem,1713905,2,
arbekacin,19101402,2,
somatrem,1578181,2,
benoxinate,935529,2,
lactitol,19071236,2,
vinpocetine,19095462,2,
canrenoate,19123864,1,
ichthammol,977949,1,
aluminum,42898412,1,
hydroxytyrosol,42903724,1,
distigmine,19035856,1,
ospemifene,43525773,1,
dihydroergotamine,1126557,1,
saxagliptin,40166035,1,
enfuvirtide,1717002,1,
tacalcitol,19008361,1,
guaiazulene,19068893,1,
beta sitosterol,19112540,1,
Saccharomyces boulardii,991855,1,
chloroxylenol,949459,1,
aprotinin,19000729,1,
bismuth tribromophenate,19058100,1,
dromostanolone,19056571,1,
miglitol,1510202,1,
creatinine,19071968,1,
chondroitin sulfates / glucosamine Oral,40131393,1,
alfentanil,19059528,1,
brincidofovir,779496,1,
maltose,42899344,1,
indinavir,1711523,1,
chymotrypsin,19096710,1,
inositol,1379525,1,
ioxaglate,19081316,1,
amygdalin,43525788,1,
ioflupane,702004,1,
paregoric,922024,1,
glycine,962398,1,
citrulline,19097664,1,
sparfloxacin,1733765,1,
tranilast,19120306,1,
beclamide,19018520,1,
stannous fluoride,1036094,1,
aluminum silicate,43012256,1,
desflurane,19002770,1,
pilocarpine,945286,1,
cycloserine,1710446,1,
malate,19126516,1,
selenite,19066274,1,
acarbose,1529331,1,
fosphenytoin,713192,1,
pantothenate,19088079,1,
riboflavin,19062817,1,
ozone,37499487,1,
phosphorus,19043395,1,
aluminum hydroxide,985247,1,
oxiracetam,19082891,1,
imidapril,19122327,1,
mafenide,992716,1,
silicon dioxide,19066865,1,
chromium,19061821,1,
argatroban,1322207,1,
dichloroacetate,19024246,1,
galsulfase,19078649,1,
magnesium carbonate,908464,1,
carglumic acid,19102150,1,
coconut oil,42898952,1,
starch / zinc oxide Topical Powder,40230153,1,
salsalate,1137460,1,
piroxicam,1146810,1,
diflunisal,1126128,1,
amonafide,44506774,1,
boron,19029824,1,
amylase / lipase / protease Oral Powder,40104996,1,
nafcillin,1713930,1,
cephalothin,19086759,1,
rinfabate,43532160,1,
potassium phosphate,19027362,1,
escin,19048012,1,
carbachol,940183,1,
citicoline,40223464,1,
probenecid,1151422,1,
carbamide peroxide,958999,1,
amox / clav Oral,40131077,1,
oxytetracycline,925952,1,
ethacridine,19103483,1,
secobarbital,766067,1,
evening primrose oil,19045290,1,
ambenonium,787362,1,
dasabuvir / ombitasvir / paritaprevir / ritonavir ER Oral,40220795,1,
interleukin-10,42900473,1,
poractant alfa,19091377,1,
zolmitriptan,1116031,1,
becaplermin,912476,1,
pyrethrins,959665,1,
tolperisone,19003296,1,
aspartic acid,19012686,1,
papain,926770,1,
ethinyl estradiol / norethindrone Oral,43526711,1,
serotonin,42899779,1,
caffeine / propyphenazone Rectal Suppository,40017332,1,
sodium sulfate,939976,1,
HCTZ / triamterene Oral,40045116,1,
piracetam,19046654,1,
safinamide,1594333,1,
lactoferrin,43531995,1,
mephobarbital,702685,1,
arachidonate,43014003,1,
enobosarm,790012,1,
17-alpha-hydroxyprogesterone,19077143,1,
cesium chloride,19049175,1,
benazepril / HCTZ Oral,40096153,1,
iodoquinol,928006,1,
influenza A virus (H3N2) antigen,46275996,1,
aloe extract,960900,1,
sulfacetamide,1036252,1,
peginterferon beta-1a,45775146,1,
parnaparin,19008276,1,
dronedarone,40163615,1,
oregano oil,19126395,1,
methylephedrine,35604767,1,
ropinirole,713823,1,
cetylpyridinium,989301,1,
selegiline,766209,1,
helium,19067073,1,
cefoxitin,1775741,1,
vilazodone,40234834,1,
methazolamide,904250,1,
ethylmorphine,19050414,1,
amphotericin,952045,1,
trimetrexate,1750928,1,
pipamperone,19093225,1,
follitropin beta,1597235,1,
betahistine,19020124,1,
butobarbital,19039767,1,
cenegermin,1355548,1,
acetaminophen / butalbital Oral,40004033,1,
shark liver oil,961304,1,
olive oil,42900448,1,
tuberculin,19010871,1,
meclizine,994341,1,
bromfenac,1139179,1,
levomilnacipran,43560354,1,
ebastine,19092433,1,
romosozumab,1511251,1,
insulin aspart,1567198,1,
prazepam,19050461,1,
fosinopril,1363749,1,
glutamate,911486,1,
certoparin,19016072,1,
diosmin / hesperidin Oral,40031530,1,
fluorescein,996625,1,
trimetazidine,19005626,1,
cystine,19011082,1,
mitobronitol,19125635,1,
quazepam,731188,1,
lincomycin,1790692,1,
tirofiban,19017067,1,
grape seed extract,1392182,1,
polystyrene sulfonate,45775570,1,
calcium levulinate,19058971,1,
licorice,1353048,1,
icodextrin,19011437,1,
benzalkonium,916460,1,
codeine / promethazine Oral,40029854,1,
stiripentol,35200286,1,
methylcellulose,905371,1,
tetrahydrozoline,941577,1,
tasimelteon,44814600,1,
rizatriptan,1154077,1,
calcium bicarbonate,43526455,1,
streptokinase,19136187,1,
hypochlorite,44784806,1,
manganese chloride,19008893,1,
selenium sulfide,938061,1,
hydrogen,19076389,1,
arsenate,43526097,1,
fosfomycin,956653,1,
acetaminophen / butalbital / caffeine Oral,40004012,1,
etilefrine,19050419,1,
glycolate,911638,1,
ethinyl estradiol / norgestimate Oral,40039807,1,
lipase,990760,1,
doxylamine,738818,1,
adenine,19071966,1,
chlordiazepoxide,990678,1,
cevimeline,954819,1,
silymarin,19066992,1,
trimethobenzamide,942799,1,
triazolam,704599,1,
tasonermin,19071159,1,
hyaluronidase / pertuzumab / trastuzumab Inj,1146566,1,
palladium,42900467,1,
amiloride,991382,1,
interferon alfa-n3,1385645,1,
gadobenate,19007652,1,
manidipine,19071995,1,
tetracaine,1036884,1,
tyrothricin,19006842,1,
hydrotalcite,19002230,1,
ethinyl estradiol / gestodene Oral,40039760,1,
tolnaftate,902950,1,
sulfamethoxypyridazine,19000820,1,
patisiran,35200163,1,
disopyramide,1335606,1,
Hypericum oil,42904117,1,
dimethyl sulfoxide,928980,1,
menthol / zinc oxide Topical Powder,40126740,1,
pumpkin seed oil,19112533,1,
zeolite A,37498881,1,
sulfametrole / trimethoprim Oral,40101830,1,
motixafortide,746567,1,
flunarizine,19055183,1,
eletriptan,1189697,1,
clorazepate,790253,1,
royal jelly,19036638,1,
berberine,19012197,1,
niclosamide,19018416,1,
brodalumab,1592513,1,
drospirenone / ethinyl estradiol Oral,40057995,1,
dexamethasone / neomycin Topical Spray,40027449,1,
sage oil,42899733,1,
tianeptine,19041910,1,
diosmin,19029488,1,
bebtelovimab,1759073,1,
abarelix,19010868,1,
levothyroxine / liothyronine Oral,40086668,1,
moxonidine,19011021,1,
givosiran,37498020,1,
collagen,19069049,1,
zinc pyrithione,944360,1,
metaxalone,780369,1,
tralokinumab,1758687,1,
clofazimine,1798476,1,
paromomycin,1727443,1,
penicillin G,1728416,1,
varicella zoster virus glycoprotein E,792777,1,
oil of garlic,42899536,1,
belantamab,37002429,1,
flavin-adenine dinucleotide,42903868,1,
mestranol,1503184,1,
diethylcarbamazine,19025698,1,
morniflumate,19072152,1,
rilpivirine,40238930,1,
elosulfase alfa,44814525,1,
fluphenazine,756018,1,
propoxyphene,1153664,1,
primaquine,1751310,1,
magnesium lactate,19051926,1,
avacopan,702027,1,
inclisiran,1758562,1,
acrivastine,1140123,1,
iodamide,19080542,1,
aspirin / dipyridamole Oral,40012575,1,
mavacamten,779591,1,
fomepizole,19022479,1,
diamond,43012191,1,
ioversol,19069131,1,
abrocitinib,1758974,1,
calcium fluoride,19018601,1,
lornoxicam,19049709,1,
voclosporin,739590,1,
deutetrabenazine,1593670,1,
spiramycin,19070251,1,
efgartigimod alfa,702468,1,
iobitridol,19053540,1,
levulinate,42904214,1,
polyvinyl alcohol / povidone Ophthalmic Solution,40073755,1,
estradiol / norethindrone Transdermal System,40221101,1,
trihexyphenidyl,705178,1,
bemiparin,19069137,1,
doravirine,35200446,1,
cobicistat / darunavir Oral,45892973,1,
Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine,529044,1,
dezocine,19088393,1,
bambuterol,19034275,1,
vibegron,739438,1,
omidubicel,1201206,1,
tibolone,19041933,1,
chloroacetate,19059552,1,
idarucizumab,35602981,1,
halobetasol,949759,1,
titanium dioxide / zinc oxide Topical Cream,40098782,1,
Coix lacryma-jobi seed extract,42898902,1,
pafolacianine,702393,1,
inebilizumab,1146077,1,
isoflurane,782043,1,
betamethasone / clotrimazole Topical Ointment,40018135,1,
thyroglobulin,19000732,1,
acetaminophen / ibuprofen Oral,40002729,1,
betamethasone / fusidate Topical Lotion,40131263,1,
phentermine,735340,1,
nicorandil,19014977,1,
oxatomide,19071314,1,
crotamiton,969276,1,
amylocaine,19048016,1,
indigo,43532336,1,
glucagon,1560278,1,
pemoline,727835,1,
Bifidobacterium bifidum,19006764,1,
ciclesonide,902938,1,
methotrimeprazine,19005147,1,
methenamine,904356,1,
maprotiline,794147,1,
methyl 5-aminolevulinate,19025194,1,
potassium aspartate,19049059,1,
troxerutin,19043154,1,
temoporfin,19011067,1,
flupirtine,19064698,1,
chondroitin sulfate (chicken),43525774,1,
calcium sulfate,19037446,1,
formaldehyde,1756524,1,
balsalazide,934262,1,
bencyclane,19016320,1,
alpha hydroxy acids / urea Topical Cream,43532594,1,
Plantago seed,19132965,1,
thimerosal,19137377,1,
hydrocodone / ibuprofen Oral,40045770,1,
mepivacaine,702774,1,
kanamycin,1784749,1,
imidazole,739489,1,
choline,1195334,1,
erdosteine,19058933,1,
alginic acid / aluminum hydroxide / magnesium carbonate Oral,40133592,1,
aminoglutethimide,1503057,1,
oxybate,37002370,1,
glucose / sodium chloride Inj,40044592,1,
indican,37003227,1,
desogestrel,1588000,1,
trandolapril,1342439,1,
gadopentetate,45775566,1,
fluorine,42899013,1,
podophyllin,947651,1,
phenelzine,733896,1,
darifenacin,916230,1,
Trichophyton antigen,19057718,1,
ticarcillin,1702364,1,
sulfadiazine,1836391,1,
